Assembly	p15	p90
# misassemblies	0	1
  # contig misassemblies	0	1
    # c. relocations	0	1
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	0	1
Misassembled contigs length	0	26460
# local misassemblies	0	0
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	0	0
# mismatches	0	0
# indels	0	0
    # indels (<= 5 bp)	0	0
    # indels (> 5 bp)	0	0
Indels length	0	0
