sample	n_contigs	total_bp	N50	mean_len	median_len	GC_mean
p15_1	5	275040	250601	55008	1172	44.33419042595867
p15_6	1	272485	272485	272485	272485	59.960731783400924
p90_2	2	273134	272395	136567	136567.0	57.038268597295165
p90_6	1	1675545	1675545	1675545	1675545	31.508374886977077
